id,chinese,pinyin,english,priority,quality,word1,word1_english,word2,word2_english,word3,word3_english,word4,word4_english,sentence,sentence_pinyin,sentence_english
1643,火鸡,huǒ jī,turkey,3,1,火,fire,鸡,chicken,,,,,感恩节我们吃火鸡,gǎn ēn jié wǒ men chī huǒ jī,we eat turkey on Thanksgiving
1644,活泼,huó pō,lively,3,,,,,,,,,,小狗很活泼,xiǎo gǒu hěn huó pō,the puppy is very lively
1645,基本,jī běn,basic,3,,,,,,,,,,这些是基本要求,zhè xiē shì jī běn yāo qiú,these are basic requirements
1646,季度,jì dù,quarter,3,2,季,season,程度,degree,,,,,公司第一季度利润上涨。,gōng sī dì yī jì dù lì rùn shàng zhǎng。,The company’s first-quarter profit increased.
1647,基督教,jī dū jiào,christianity,3,3,基督,Christ,宗教,religion,,,,,基督教信徒很多。,jī dū jiào xìn tú hěn duō.,there are many christian believers.
1648,积分,jī fēn,points,3,,,,,,,,,,谁积分最高谁赢,shuí jī fēn zuì gāo shuí yíng,whoever has the most points wins
1649,即将,jí jiāng,upcoming;coming soon;on the verge of,3,2,立即,immediately,将,will,,,,,火车即将到站,Huǒchē jíjiāng dàozhàn,The train is about to arrive
1650,季卡,jì kǎ,three-month pass; seasonal pass,3,4,季节,season,卡片,card,,,,,我先买了一张健身房的季卡。,wǒ xiān mǎi le yì zhāng jiàn shēn fáng de jì kǎ.,I started by buying a three-month gym pass.
1651,极客,jí kè,geek,3,,,,,,,,,,他是一个电脑极客,tā shì yī gè diàn nǎo jí kè,he is a computer geek
1652,忌口,jì kǒu,avoid certain foods,3,4,忌讳,taboo,口,mouth,,,,,医生让他忌口。,yī shēng ràng tā jì kǒu。,The doctor told him to avoid certain foods.
1653,积累,jī lěi,to accumulate,3,3,积极,active;positive,累,tired,,,,,经验需要慢慢积累。,jīng yàn xū yào màn màn jī lěi.,Experience takes time to accumulate.
1654,吉林省,jí lín shěng,Jilin Province,3,3,吉,lucky,林,woods,省,province,,,吉林冬天非常冷。,jí lín dōng tiān fēi cháng lěng,Jilin is very cold in winter.
1655,鸡柳,jī liǔ,chicken fillet,3,,,,,,,,,,午餐有炸鸡柳,wǔ cān yǒu zhà jī liǔ,there are fried chicken strips for lunch
1656,纪念碑,jì niàn bēi,monument,3,2,纪念,commemmorate,墓碑,tombstone,,,,,我们参观了自由纪念碑,Wǒmen cānguān le zìyóu jìniànbēi,We visited the Liberty Monument
1657,计算机软件开发,jì suàn jī ruǎn jiàn kāi fā,Computer software development,3,4,计算机,computer,软件,software,开发,development,,,他在学习计算机软件开发,Tā zài xuéxí jìsuànjī ruǎnjiàn kāifā,He is studying computer software development
1658,计算器,jì suàn qì,calculator,3,2,计算,to calculate,器,device,,,,,请用计算器算一下,qǐng yòng jì suàn qì suàn yī xià,please use the calculator to check
1659,吉他,jí tā,guitar,3,5,吉祥,auspicious;lucky,他,he,,,,,他会弹吉他。,tā huì tán jí tā.,he can play the guitar.
1660,假设,jiǎ shè,assumptions;hypothetically;hypothesis,3,2,假,fake,设计,plan,,,,,假设你有一百万你会怎么花,Jiǎshè nǐ yǒu yī bǎi wàn nǐ huì zěnme huā,Suppose you had a million how would you spend it?
1661,家乡,jiā xiāng,hometown,3,3,家,home,乡村,rural,,,,,我的家乡在南方,wǒ de jiā xiāng zài nán fāng,my hometown is in the south
1662,假装,jiǎ zhuāng,pretend;to feign,3,1,假,fake,装,dress,,,,,他假装没听见我说话,Tā jiǎzhuāng méi tīngjiàn wǒ shuōhuà,He pretended not to hear me
1663,甲状腺,jiǎ zhuàng xiàn,thyroid,3,4,指甲,fingernail,状态,condition,腺,gland,,,他在甲状腺外科做了一个小手术。,tā zài jiǎ zhuàng xiàn wài kē zuò le yī gè xiǎo shǒu shù。,He had a minor operation in the thyroid surgery department。
1664,减5元,jiǎn 5 yuán,5 yuan off,3,,,,,,,,,,今天买东西可以减5元,jīntiān mǎi dōngxī kěyǐ jiǎn wǔ yuán,Today you can get 5 yuan off when shopping
1665,间隔,jiàn gé,interval,3,3,时间,time,隔离,separate,,,,,发车间隔很短。,fā chē jiàn gé hěn duǎn,The departure interval is short.
1666,渐渐地,jiàn jiàn de,gradually,3,,-,,,,,,,,天气渐渐地变冷了。,tiān qì jiàn jiàn de biàn lěng le。,The weather gradually got colder.
1667,健康检查,jiàn kāng jiǎn chá,health check,3,,,,,,,,,,每年做一次健康检查,Měinián zuò yī cì jiànkāng jiǎnchá,Get a health check every year
1668,监控,jiān kòng,surveillance; to monitor,3,4,监督,supervise,控制,control,,,,,警方查看了附近的监控录像。,jǐng fāng chá kàn le fù jìn de jiān kòng lù xiàng.,The police checked nearby surveillance footage.
1669,简历,jiǎn lì,résumé;cv,3,2,简,simple,历,history,,,,,我更新了简历,Wǒ gēngxīn le jiǎnlì,I updated my resume
1670,碱水,jiǎn shuǐ,pretzel,3,,,,,,,,,,这家店的碱水面包很香,Zhè jiā diàn de jiǎnshuǐ miànbāo hěn xiāng,The lye bread here smells great
1671,简体字,jiǎn tǐ zì,simplified Chinese characters,3,3,简单,simple,体,body,字,character,,,中国大陆使用简体字,zhōng guó dà lù shǐ yòng jiǎn tǐ zì,Mainland China uses simplified characters
1672,兼职,jiān zhí,part-time job,3,4,兼,double;simultaneous,职业,occupation,,,,,他在咖啡店做兼职,Tā zài kāfēi diàn zuò jiānzhí,He works part-time in a coffee shop
1673,奖杯,jiǎng bēi,trophy,3,2,奖,award,杯,cup,,,,,他赢得了比赛的奖杯,Tā yíngdé le bǐsài de jiǎngbēi,He won the trophy for the competition
1674,江苏省,jiāng sū shěng,Jiangsu Province,3,5,江,river,苏,"""su"" phonetic",省,province,,,江苏经济发达。,jiāng sū jīng jì fā dá,Jiangsu has a developed economy.
1675,江西省,jiāng xī shěng,Jiangxi Province,3,2,江,river,西,west,省,province,,,江西以庐山和景德镇出名。,jiāng xī yǐ lú shān hé jǐng dé zhèn chū míng,Jiangxi is known for Lushan and Jingdezhen.
1676,奖学金,jiǎng xué jīn,scholarship,3,1,奖,prize,学,learning,资金,funds,,,他拿了奖学金,Tā ná le jiǎngxuéjīn,He got a scholarship
1677,郊区,jiāo qū,suburbs,3,,-,,,,,,,,他们住在郊区,Tāmen zhù zài jiāoqū,They live in the suburbs
1678,教室,jiào shì,classroom,3,2,教,to teach,室,room,,,,,教室里很安静,Jiàoshì lǐ hěn ānjìng,It is very quiet in the classroom
1679,胶水,jiāo shuǐ,glue,3,2,橡胶,rubber,水,water,,,,,用胶水把纸粘上。,yòng jiāo shuǐ bǎ zhǐ zhān shàng.,use glue to stick the paper.
1680,交友软件,jiāo yǒu ruǎn jiàn,dating apps,3,3,交,meet,友,friend,软件,software,,,她通过交友软件认识了他,Tā tōngguò jiāoyǒu ruǎnjiàn rènshi le tā,She met him through a dating app
1681,解冻,jiě dòng,to thaw,3,2,解决,resolve,冰冻,freeze,,,,,冰箱里的肉已经解冻了。,bīngxiāng lǐ de ròu yǐjīng jiě dòng le.,The meat in the freezer has already thawed.
1682,结构,jié gòu,structure;composition,3,3,结,knot,机构,mechanism,,,,,这栋楼的结构很牢固,zhè dòng lóu de jiégòu hěn láogù,the structure of this building is very solid
1683,截图,jié tú,screenshot,3,2,截断,cut off,图片,picture,,,,,请发我一张聊天的截图,Qǐng fā wǒ yī zhāng liáotiān de jiétú,Please send me a screenshot of the chat
1684,戒指,jiè zhǐ,a ring,3,3,戒备,to guard against,指,finger,,,,,他送给她一枚漂亮的戒指,tā sòng gěi tā yī méi piào liàng de jiè zhǐ,he gave her a beautiful ring
1685,金枪鱼,jīn qiāng yú,tuna,3,1,金,metal,枪,gun,鱼,fish,,,他午饭吃了一罐金枪鱼,tā wǔ fàn chī le yī guàn jīn qiāng yú,he ate a can of tuna for lunch
1686,今晚,jīn wǎn,this evening,3,4,今天,today,晚上,evening,,,,,今晚我们一起吃饭,jīn wǎn wǒ men yī qǐ chī fàn,let’s have dinner together tonight
1687,金针菇,jīn zhēn gū,needle mushroom,3,,,,,,,,,,火锅里加了金针菇,huǒ guō lǐ jiā le jīn zhēn gū,enoki mushrooms were added to the hotpot
1688,井,jǐng,well,3,,,,,,,,,,村口有一口井,Cūnkǒu yǒu yī kǒu jǐng,There is a well at the village entrance
1689,京东,jīng dōng,Jing Dong,3,5,京,capital,东,east,到,arrive at,家,home,他在京东到家买了狗粮,tā zài jīngdōng dàojiā mǎile gǒuliáng,He bought dog food on JD Daojia
1690,镜柜,jìng guì,medicine cabinet,3,2,镜子,mirror,柜子,cabinet,,,,,浴室里的镜柜可以放很多东西。,yù shì lǐ de jìng guì kě yǐ fàng hěn duō dōng xī.,the mirror cabinet in the bathroom can store many items.
1691,经过,jīng guò,to pass by; go through,3,5,已经,already,过去,past,,,,,我每天上班都会经过这家咖啡店。,wǒ měi tiān shàng bān dōu huì jīng guò zhè jiā kā fēi diàn.,I pass this coffee shop every day on my way to work.
1692,净重,jìng zhòng,net weight,3,2,干净,clean,重量,weight,,,,,这箱净重十公斤,Zhè xiāng jìngzhòng shí gōngjīn,This box net weight is ten kilos
1693,韭菜,jiǔ cài,leek;chives,3,,,,,,,,,,韭菜炒鸡蛋是家常菜,jiǔ cài chǎo jī dàn shì jiā cháng cài,Leek and egg stir-fry is a home-style dish
1694,具体的时间,jù tǐ de shí jiān,Specific time,3,,,,,,,,,,请告诉我具体的时间,Qǐng gàosù wǒ jùtǐ de shíjiān,Please tell me the exact time
1695,咖啡机,kā fēi jī,coffee maker,3,4,咖啡,coffee,机,machine,,,,,办公室有一台咖啡机,bàn gōng shì yǒu yī tái kā fēi jī,there is a coffee machine in the office
1696,咖啡因,kā fēi yīn,caffeine,3,3,咖啡,coffee,原因,reason,,,,,咖啡因让我晚上睡不着,Kāfēiyīn ràng wǒ wǎnshang shuì bù zháo,Caffeine keeps me awake at night
1697,开放,kāi fàng,open,3,,,,,,,,,,这座城市很开放,zhè zuò chéng shì hěn kāi fàng,this city is very open
1698,开放时间,kāi fàng shí jiān,Opening hours,3,,,,,,,,,,博物馆的开放时间是九点,bó wù guǎn de kāi fàng shí jiān shì jiǔ diǎn,the museums opening time is nine oclock
1699,开明,kāi míng,open-minded;enlightened,3,2,开,open,明,bright,,,,,她是个很开明的父母,Tā shì gè hěn kāimíng de fùmǔ,She is a very open-minded parent
1700,开往,kāi wǎng,to leave for;heading for,3,2,离开,to depart,往,towards,,,,,这班火车开往上海,zhè bān huǒ chē kāi wǎng shàng hǎi,this train goes to shanghai
1701,开心果,kāi xīn guǒ,pistachio,3,2,开心,happy,果,fruit,,,,,我们一起吃开心果,Wǒmen yīqǐ chī kāixīnguǒ,We are eating pistachios together
1702,看完,kàn wán,to finish watching,3,,,,,,,,,,我昨天看完了那部电影,wǒ zuó tiān kàn wán le nà bù diàn yǐng,I finished watching that movie yesterday
1703,抗日战争,kàng rì zhàn zhēng,The War of Resistance Against Japan,3,3,抵抗,resist,日本,Japan,战争,war,,,抗日战争是中国近代史的重要篇章。,kàng rì zhàn zhēng shì zhōng guó jìn dài shǐ de zhòng yào piān zhāng.,the war of resistance against japan is an important chapter in modern chinese history.
1704,烤箱,kǎo xiāng,oven,3,1,烤,bake,箱,box,,,,,把面包放进烤箱,Bǎ miànbāo fàng jìn kǎoxiāng,Put the bread into the oven
1705,壳,ké,shell;phone case,3,,,,,,,,,,手机壳裂了,shǒujī ké liè le,The phone case cracked
1706,课程,kè chéng,course,3,2,课,class,过程,process,,,,,这门课程很有趣,zhè mén kè chéng hěn yǒu qù,this course is very interesting
1707,客观,kè guān,objective;impartial,3,2,客,guest,观点,viewpoint,,,,,他描述得很客观,tā miáoshù de hěn kèguān,he described it objectively
1708,可回收物,kě huígshōu wù,recyclables,3,,,,,,,,,,-,-,-
1709,可靠,kě kào,reliable,3,2,可,can,靠,lean on,,,,,她是一个很可靠的朋友,Tā shì yīgè hěn kěkào de péngyǒu,She is a very reliable friend
1710,可可,kě kě,cocoa,3,,,,,,,,,,这块巧克力含有丰富的可可,zhè kuài qiǎo kè lì hán yǒu fēng fù de kě kě,This chocolate contains a lot of cocoa
1711,可颂,kě sòng,croissant,3,4,可,can,颂歌,ode;carol,,,,,可颂外脆内软。,kě sòng wài cuì nèi ruǎn.,croissants are crispy outside and soft inside.
1712,课堂,kè táng,classroom,3,3,课,class,堂,hall,,,,,学生们认真听课堂讲解,Xuéshēngmen rènzhēn tīng kètáng jiǎngjiě,Students listen carefully in class
1713,科学家,kē xué jiā,scientist,3,,,,,,,,,,这个科学家发现了新药,zhè gè kē xué jiā fā xiàn le xīn yào,this scientist discovered a new medicine
1714,可再生能源,kě zài shēng néng yuán,renewable energy,3,2,可,can,再,again,生,life,能源,energy,太阳能是可再生能源,Tàiyángnéng shì kě zàishēng néngyuán,Solar power is renewable energy
1715,空姐,kōng jiě,flight attendant,3,1,航空,aviation,姐,elder sister,,,,,那位空姐服务态度很好,nà wèi kōng jiě fú wù tài dù hěn hǎo,The flight attendant was very polite
1716,恐惧,kǒng jù,fear,3,,-,,,,,,,,孩子对黑暗有恐惧。,hái zi duì hēi àn yǒu kǒng jù.,children are afraid of the dark.
1717,空军,kōng ​jūn,air force,3,1,空气,air,军,army,,,,,她加入了空军,tā jiā rù le kōng jūn,she joined the air force
1718,恐龙,kǒng lóng,dinosaur,3,1,恐怕,fear,龙,dragon,,,,,恐龙早已在地球上灭绝,Kǒnglóng zǎo yǐ zài dìqiú shàng mièjué,Dinosaurs have long been extinct on Earth
1719,口号,kǒu hào,slogan,3,1,口,mouth,号,mark,,,,,他们大声喊出口号,tā men dà shēng hǎn chū kǒu hào,they shouted the slogan loudly
1720,口香糖,kǒu xiāng táng,gum,3,1,口,mouth,香,fragrant,糖,sugar,,,他正在嚼口香糖,Tā zhèngzài jiáo kǒuxiāngtáng,He is chewing gum
1721,库巴,kù bā,Bowser,3,,,,,,,,,,库巴出现并要求你付金币,kù bā chū xiàn bìng yāo qiú nǐ fù jīn bì,Bowser appeared and demanded coins
1722,会计,kuài jì,accounting,3,2,会,can,统计,statistics,,,,,她是一名会计,tā shì yī míng kuài jì,she is an accountant
1723,宽容,kuān róng,lenient;tolerant,3,3,宽,wide,容易,easy,,,,,她的性格很宽容,Tā de xìnggé hěn kuānróng,She is very tolerant
1724,喇叭,lǎ ba,horn,3,,-,,,,,,,,他按了几下喇叭提醒前车。,tā àn le jǐ xià lǎ ba tí xǐng qián chē.,He honked the horn a few times to alert the car ahead.
1725,辣椒,là jiāo,chili pepper,3,3,辣,spicy,椒,pepper,,,,,他特别爱吃辣椒。,tā tè bié ài chī là jiāo.,he really loves chili peppers.
1726,拉拉,lā lā,lesbian,3,5,拉,pull,拉,pull,,,,,她是拉拉，对此很坦然。,"tā shì lā lā, duì cǐ hěn tǎn rán.",she is a lesbian and is very open about it.
1727,拉链,lā liàn,zipper,3,2,拉,pull,链,chain,,,,,拉链坏了拉不上去,lāliàn huài le lā bù shàngqù,the zipper broke and cannot be pulled up
1728,蜡烛,là zhú,candle,3,,,,,,,,,,桌上点着蜡烛,zhuō shàng diǎn zhe là zhú,there are candles lit on the table
1729,老百姓,lǎo bǎi xìng,ordinary people,3,3,老,old,百,hundred,姓,family name,,,老百姓的生活不容易。,lǎo bǎi xìng de shēng huó bù róng yì,Life for ordinary people is not easy.
1730,老美,lǎo měi,Americans,3,3,老,old,美国,USA,,,,,他在国外工作，经常跟老美打交道。,tā zài guó wài gōng zuò，jīng cháng gēn lǎo měi dǎ jiāo dào。,He works abroad and often deals with Americans.
1731,乐山大佛,lè shān dà fó,Leshan Giant Buddha (Sichuan),3,4,快乐,happy,山,mountain,大,big,佛,Buddha,乐山大佛坐落在江边。,lè shān dà fó zuò luò zài jiāng biān,The Leshan Giant Buddha sits by the river.
1732,类别,lèi bié,category,3,2,类,kind,分别,to distinguish,,,,,这种动物属于猫科类别,Zhè zhǒng dòngwù shǔyú māokē lèibié,This animal belongs to the cat family category
1733,冷静,lěng jìng,calm,3,3,冷,cold,安静,quiet,,,,,遇事要冷静处理。,yù shì yào lěng jìng chǔ lǐ。,Stay calm when handling matters.
1734,冷气,lěng qì,air conditioning,3,2,冷,cold,空气,air,,,,,商场里的冷气很足。,shāng chǎng lǐ de lěng qì hěn zú,The air conditioning in the mall is very strong.
1735,离婚,lí hūn,divorce,3,2,离开,depart,结婚,marriage,,,,,他们去年离婚了,tā men qù nián lí hūn le,they divorced last year
1736,立即确认,lì jí què rèn,immediate confirmation,3,,,,,,,,,,请立即确认订单,qǐng lì jí què rèn dìng dān,please confirm the order immediately
1737,立即注册,lì jí zhù cè,Register now,3,,,,,,,,,,请立即注册账户,Qǐng lìjí zhùcè zhànghù,Please register immediately
1738,漓江,lí jiāng,Li River (with karsts),3,4,漓,patter of rain;seep through,江,large river,,,,,坐船游漓江非常惬意。,zuò chuán yóu lí jiāng fēi cháng qiè yì,Cruising the Li River is very relaxing.
1739,理科,lǐ kē,field of science,3,3,理论,theory,科目,subject,,,,,他在大学读理科。,tā zài dà xué dú lǐ kē,He studies science in university.
1740,礼貌,lǐ mào,courtesy;manners,3,2,礼物,gift,貌,appearance,,,,,孩子要学会礼貌,hái zi yào xué huì lǐ mào,children should learn manners
1741,利润,lì rùn,profit,3,4,利用,utilize;exploit,润,moisturize,,,,,公司今年利润增长明显。,gōngsī jīnnián lìrùn zēngzhǎng míngxiǎn,The company profit grew significantly this year.
1742,理所当然,lǐ suǒ dāng rán,take it for granted,3,2,理由,reason,所有,all,当然,of course,,,帮朋友是理所当然的,Bāng péngyǒu shì lǐsuǒdāngrán de,Helping friends is taken for granted
1743,荔枝,lì zhī,lychee,3,,-,,,,,,,,我夏天很喜欢吃荔枝。,wǒ xià tiān hěn xǐ huan chī lì zhī,I really like eating lychees in summer.
1744,栗子,lì zi,chestnut,3,,-,,,,,,,,秋天是吃栗子的季节。,qiū tiān shì chī lì zi de jì jié.,Autumn is chestnut season.
1745,恋爱关系,liàn 'ài guān xì,romantic relationship,3,,,,,,,,,,他们的恋爱关系需要更多沟通,Tāmen de liànài guānxì xūyào gèng duō gōutōng,Their relationship needs more communication
1746,莲藕,lián ǒu,lotus root,3,,,,,,,,,,我喜欢吃清炒莲藕,wǒ xǐ huān chī qīng chǎo lián ǒu,I like to eat stir fried lotus root
1747,亮色,liàng sè,bright color,3,4,明亮,bright,色彩,color,,,,,亮色包包很抢眼,liàng sè bāo bāo hěn qiǎng yǎn,Bright bags catch the eye
1748,辽宁省,liáo níng shěng,Liaoning Province,3,3,辽,Liao dynasty,安宁,peaceful,省,province,,,辽宁是中国东北的重要省份。,liáo níng shì zhōng guó dōng běi de zhòng yào shěng fèn,Liaoning is an important province in northeast China.
1749,列,liè,column (spreadsheet),3,,,,,,,,,,请把名字按列排列,qǐng bǎ míng zì àn liè pái liè,Please arrange the names in columns
1750,邻居,lín jū,neighbor,3,,,,,,,,,,我的邻居每天早上跑步。,wǒ de lín jū měi tiān zǎo shang pǎo bù.,My neighbor jogs every morning.
1751,临时,lín shí,interim;ad hoc;temporary,3,4,面临,to face something,时间,time,,,,,这是一个临时决定,Zhè shì yī gè línshí juédìng,This is a temporary decision
1752,凌晨,líng chén,early morning (after midnight),3,,,,,,,,,,我凌晨两点才睡觉,wǒ líng chén liǎng diǎn cái shuì jiào,i slept at 2am
1753,领带,lǐng dài,necktie,3,1,领,neck,带,belt,,,,,上班要打领带,Shàngbān yào dǎ lǐngdài,You should wear a tie to work
1754,零工,líng gōng,odd jobs;gig work,3,1,零,zero,工作,work,,,,,他靠做零工维持生活。,tā kào zuò línggōng wéichí shēnghuó,He survives by doing odd jobs.
1755,灵魂,líng hún,soul,3,,,,,,,,,,音乐触动了他的灵魂,yīnyuè chùdòng le tā de línghún,the music touched his soul
1756,00后,líng líng hòu,years 2000 to 2010,3,4,0 0,year 2000,后,after,,,,,00后更喜欢新潮文化。,líng líng hòu gèng xǐ huān xīn cháo wén huà,Post-2000s prefer trendy culture.
1757,灵隐寺,líng yǐn sì,Lingyin Temple (Hangzhou),3,2,灵魂,spirit,隐藏,hide,寺庙,temple,,,灵隐寺香火很旺。,líng yǐn sì xiāng huǒ hěn wàng,Lingyin Temple has strong incense offerings.
1758,遛狗,liù gǒu,walk the dog,3,4,遛,stroll,狗,dog,,,,,我每天早上遛狗。,wǒ měi tiān zǎo shàng liù gǒu,I walk the dog every morning.
1759,流口水,liú kǒu shuǐ,to drool,3,1,流,flow,口水,saliva,,,,,闻到烤肉的香味我直流口水,wén dào kǎoròu de xiāngwèi wǒ zhí liú kǒushuǐ,I drooled when I smelled the barbecue
1760,浏览器,liú lǎn qì,browser (internet),3,2,浏览,to browse,器,device,,,,,请用浏览器打开网页,Qǐng yòng liúlǎn qì dǎkāi wǎngyè,Please open the webpage with a browser
1761,流浪猫,liú làng māo,stray cat,3,3,流浪,wandering,猫,cat,,,,,这里有很多流浪猫。,zhè lǐ yǒu hěn duō liú làng māo.,There are many stray cats here.
1762,六十年代,liù shí nián dài,sixties decade,3,4,六十,sixty,年代,decade,,,,,这电影是六十年代的,Zhè diànyǐng shì liùshí niándài de,This movie is from the 60s
1763,留学,liú xué,to study abroad,3,4,留,to keep;stay,学习,study,,,,,她打算去日本留学,tā dǎ suàn qù rì běn liú xué,She plans to study abroad in Japan
1764,龙虾,lóng xiā,lobster,3,1,龙,dragon,虾,shrimp,,,,,他们点了一只龙虾当晚餐,Tāmen diǎn le yī zhī lóngxiā dāng wǎncān,They ordered a lobster for dinner
1765,铝,lǚ,aluminum,3,,,,,,,,,,这个锅是铝制的,Zhège guō shì lǚ zhì de,This pot is made of aluminum
1766,路标,lù biāo,road signs,3,3,路,road,标,sign,,,,,路标清楚地指示方向,Lùbiāo qīngchǔ de zhǐshì fāngxiàng,The road signs clearly show the direction
1767,旅居,lǚ jū,live abroad (temporarily),3,3,旅行,travel,居民,resident,,,,,他在法国旅居多年,Tā zài Fǎguó lǚjū duō nián,He lived in France for many years
1768,芦笋,lú​ sǔn,asparagus,3,3,西葫芦,zucchini,笋,bamboo shoot,,,,,我喜欢清炒芦笋,wǒ xǐ huān qīng chǎo lú sǔn,I like stir fried asparagus
1769,露台,lù tái,patio,3,2,露,dew,台,platform,,,,,房间有一个露台,fáng jiān yǒu yī gè lù tái,the room has a terrace
1770,路线,lù xiàn,route;itinerary,3,2,路,road,线,line,,,,,我们计划了一条路线,wǒ men jì huà le yī tiáo lù xiàn,we planned a route
1771,路易吉,lù yì jí,Luigi,3,,,,,,,,,,路易吉获得了一颗星星,lù yì jí huò dé le yī kē xīng xīng,Luigi collected a star
1772,论文,lùn wén,thesis;dissertation;paper,3,2,理论,theory,文件,document,,,,,她正在写毕业论文,tā zhèng zài xiě bì yè lùn wén,she is writing her graduation thesis
1773,洛杉矶,luò shān jī,Los Angeles,3,,-,,,,,,,,她下周飞往洛杉矶,Tā xià zhōu fēiwǎng Luòshānjī,She flies to Los Angeles next week
1774,裸体,luǒ tǐ,nude,3,,,,,,,,,,雕像是一个裸体男子,diāo xiàng shì yī gè luǒ tǐ nán zǐ,The statue is of a nude man
1775,骂,mà,to scold,3,,,,,,,,,,他气得大声骂人,tā qì de dà shēng mà rén,He was so angry that he started scolding loudly
1776,码,mǎ,kilometers per hour,3,,-,,,,,,,,这辆车在高速公路上开到了100码,zhè liàng chē zài gāo sù gōng lù shàng kāi dào le yì bǎi mǎ,This car reached 100 km/h on the highway.
1777,马里奥,mǎ lǐ ào,Mario,3,,,,,,,,,,马里奥赢得了这一回合,mǎ lǐ ào yíng dé le zhè yī huí hé,Mario wins this round
1778,马里奥派对,mǎ lǐ ào pài duì,Mario party,3,,,,,,,,,,小猫咪在马里奥派对游戏盒旁边玩耍,xiǎo māo mī zài mǎ lǐ ào pài dùì yóu xì hé páng biān wán shuǎ,The kitten played next to the Mario Party game box
1779,马斯克,mǎ sī kè,Elon Musk,3,,,,,,,,,,马斯克的特斯拉在中国卖得很好,mǎ sī kè de tè sī lā zài zhōng guó mài de hěn hǎo,Musk’s Tesla sells very well in China
1780,码头,mǎ tóu,pier;dock;wharf,3,3,码,number,头,head,,,,,船停在码头上,chuán tíng zài mǎ tóu shàng,the boat is docked at the pier
1781,麻团,má tuán,sesame ball,3,4,芝麻,sesame,团,ball,,,,,早餐我吃了几个麻团。,zǎo cān wǒ chī le jǐ gè má tuán.,I ate several sesame balls for breakfast.
1782,蚂蚁,mǎ yǐ,ant,3,,,,,,,,,,地上有很多蚂蚁,dì shàng yǒu hěn duō mǎ yǐ,There are many ants on the ground
1783,马云,mǎ yún,Jack Ma,3,,,,,,,,,,马云是阿里巴巴的创始人,mǎ yún shì ā lǐ bā bā de chuàng shǐ rén,Jack Ma is the founder of Alibaba
1784,毛皮,máo pí,fur,3,1,毛,hair,皮,skin,,,,,毛皮外套很保暖,Máopí wàitào hěn bǎonuǎn,Fur coats are very warm
1785,毛重,máo zhòng,gross weight,3,3,毛,hair,重量,weight,,,,,这个包裹的毛重是十公斤,Zhège bāoguǒ de máozhòng shì shí gōngjīn,The gross weight of this package is 10 kg
1786,玫瑰,méi guī,rose,3,,-,,,,,,,,他送了她一束玫瑰。,tā sòng le tā yí shù méi guī.,he gave her a bouquet of roses.
1787,霉霉,méi méi,Taylor Swift,3,,,,,,,,,,很多中国年轻人喜欢霉霉,hěn duō zhōng guó nián qīng rén xǐ huān méi méi,Many young Chinese like Taylor Swift
1788,美容,měi róng,cosmetic,3,1,美,beautiful,容易,easy,,,,,她去做美容了,Tā qù zuò měiróng le,She went for a beauty treatment
1789,煤炭,méi tàn,coal,3,,-,,,,,,,,煤炭曾是重要的能源。,méi tàn céng shì zhòng yào de néng yuán.,coal used to be an important energy source.
1790,门店,mén diàn,store;retail outlet,3,4,门,door,商店,shop,,,,,这家门店生意很好。,zhè jiā mén diàn shēng yì hěn hǎo,This store is doing well.
1791,门铃,mén líng,doorbell,3,3,门口,doorway,铃声,ring,,,,,我按了门铃但没人开门,wǒ àn le mén líng dàn méi rén kāi mén,I rang the doorbell but nobody opened the door
1792,梦想,mèng xiǎng,dream;aspiration,3,,,,,,,,,,她的梦想是当医生,tā de mèngxiǎng shì dāng yīshēng,her dream is to become a doctor
1793,米粉,mǐ fěn,rice noodles,3,4,米,rice,粉丝,bean vermicelli,,,,,我早餐喜欢吃米粉。,wǒ zǎo cān xǐ huan chī mǐ fěn.,I like eating rice noodles for breakfast.
1794,米色,mǐ sè,beige,3,2,米饭,rice,颜色,color,,,,,米色沙发很百搭,mǐ sè shā fā hěn bǎi dā,Beige sofas match easily
1795,米线,mǐ xiàn,rice noodles,3,,,,,,,,,,云南的米线很有名,yún nán de mǐ xiàn hěn yǒu míng,yunnan rice noodles are famous
1796,蜜雪冰城,mì xuě bīng chéng,Mixue,3,4,蜜,honey,雪,snow,冰,ice,城,city,蜜雪冰城的奶茶很便宜,mì xuě bīng chéng de nǎi chá hěn pián yí,MXBC milk tea is very cheap
1797,迷因,mí yīn,meme,3,2,迷,enthusiast,原因,reason,,,,,这个迷因在网上很火,Zhège míyīn zài wǎngshàng hěn huǒ,This meme is very popular online
1798,免费取消,miǎn fèi qǔ xiāo,free cancellation,3,,,,,,,,,,酒店可以免费取消,jiǔ diàn kě yǐ miǎn fèi qǔ xiāo,the hotel can be cancelled for free
1799,棉花糖,mián huā táng,marshmallow;cotton candy,3,1,棉花,cotton,糖,candy,,,,,孩子们喜欢吃棉花糖,Háizimen xǐhuān chī miánhuātáng,Children like eating cotton candy
1800,面积,miàn jī,surface area,3,3,表面,surface,积极,positive,,,,,这个房子的面积很大。,zhè gè fáng zi de miàn jī hěn dà.,This house has a large area.
1801,棉签,mián qiān,Q-tip;cotton swab,3,4,棉花,cotton,签,bamboo stick,,,,,棉签常用于清洁耳朵,Miánqiān cháng yòng yú qīngjié ěrduo,Cotton swabs are often used to clean ears
